player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Shaun Murphy,Judd Trump,7,1503,1563,0.41857951349932265,0.4625701546562504,735,475,5565,3147,559,369,3883,2247,391,235,1519,856,439,270,1661,973,0,4,1.0,0.0,1041
David Gilbert,Joe Perry,7,1316,1460,0.31128429594529594,0.41095956594133487,359,200,2779,1468,788,459,5811,3112,182,90,862,461,332,190,1323,744,1,4,1.0,0.19999999999999996,1041
Ben Woollaston,John Higgins,7,1335,1411,0.39732956508066253,0.45264238185691064,378,217,2495,1341,1119,792,9221,5438,207,108,949,522,298,165,1174,678,2,4,1.0,0.33333333333333337,1041
Barry Hawkins,Ryan Day,7,1461,1410,0.5693507188778237,0.5318318894162242,687,421,4997,2768,629,382,4599,2536,362,200,1528,863,338,194,1155,617,4,3,0.0,0.5714285714285714,1041
Anthony Hamilton,Gerard Greene,7,1356,1157,0.7513122476997511,0.6218716423074662,702,413,5543,2981,603,329,4588,2409,149,74,729,380,137,62,605,281,3,4,1.0,0.4285714285714286,1041
Marco Fu,Mark Williams,7,1466,1459,0.5095693356278297,0.5043748883497735,645,382,4890,2648,1067,698,8491,4852,306,172,1287,729,341,201,1218,693,4,2,0.0,0.6666666666666666,1041
Ronnie O'Sullivan,Yu Delu,7,1666,1308,0.8864609774555678,0.7099209183344533,1025,777,9134,5538,166,85,1155,595,291,185,894,570,162,81,797,421,3,4,1.0,0.4285714285714286,1041
Fergal O'Brien,Mark Allen,7,1348,1547,0.24868775230024875,0.37812835769253383,706,405,5525,2922,532,338,3603,2018,202,112,747,390,299,173,1243,745,1,4,1.0,0.19999999999999996,1041
Joe Perry,Judd Trump,7,1460,1563,0.3622262568213275,0.43597836257374234,788,459,5811,3112,559,369,3883,2247,332,190,1323,744,439,270,1661,973,2,4,1.0,0.33333333333333337,1041
Yu Delu,Barry Hawkins,7,1308,1461,0.30055574355873815,0.4055240692517599,166,85,1155,595,687,421,4997,2768,162,81,797,421,362,200,1528,863,1,4,1.0,0.19999999999999996,1041
