player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Rory McLeod,Mike Dunn,9,1234,1264,0.4539653256740722,0.4812587841214648,509,277,3823,1989,647,345,4801,2477,144,64,582,281,163,77,722,380,5,2,0.0,0.7142857142857143,1354
Jack Lisowski,Stephen Maguire,9,1324,1479,0.2756600508521687,0.4043192693921528,337,198,2213,1196,826,547,6087,3464,187,99,686,354,283,169,1220,709,2,5,1.0,0.2857142857142857,1354
Rod Lawler,Kyren Wilson,9,1229,1460,0.1881636395543981,0.3595080462766614,765,417,5873,3052,321,198,2109,1165,177,79,743,370,280,160,862,481,5,1,0.0,0.8333333333333334,1354
Shaun Murphy,Mark King,9,1536,1375,0.731942685280923,0.5992881635083561,908,596,6710,3834,845,471,6254,3278,270,156,1536,922,232,126,929,496,3,5,1.0,0.375,1354
John Higgins,Mark Joyce,9,1573,1304,0.8479834642725523,0.6620627248063988,1290,915,10412,6157,395,207,2861,1454,430,264,1489,884,158,76,669,340,5,1,0.0,0.8333333333333334,1354
David Gilbert,Lee Walker,9,1479,1236,0.823812175871814,0.647370307581549,484,277,3584,1924,413,230,3224,1668,297,174,987,546,140,62,453,215,5,1,0.0,0.8333333333333334,1354
Robert Milkins,Marco Fu,9,1348,1510,0.26680105354959993,0.4001116311360017,751,456,5585,3045,788,470,5892,3214,242,126,1093,579,325,194,1308,738,0,5,1.0,0.0,1354
Graeme Dott,Yuan Sijun,9,1348,1130,0.7982810462660692,0.6329747766804606,765,450,5945,3188,32,10,216,88,195,98,995,556,84,47,176,77,5,2,0.0,0.7142857142857143,1354
Darryl Hill,Dominic Dale,9,976,1376,0.06520126840742202,0.2689414213699951,50,14,326,123,843,488,6114,3267,69,13,230,78,302,164,1113,610,3,5,1.0,0.375,1354
Alfie Burden,Rhys Clark,9,1292,1170,0.6806355880474421,0.5756643510425494,611,329,4455,2297,89,41,535,247,146,67,577,286,133,53,358,158,5,4,0.0,0.5555555555555556,1354
Stuart Bingham,Ian Burns,9,1544,1225,0.8877306915973698,0.6894394530607736,965,612,7076,4033,276,145,1746,897,408,249,1580,935,155,72,584,276,5,3,0.0,0.625,1354
Ricky Walden,Tian Pengfei,9,1445,1292,0.7217811546951534,0.5944759307482401,704,435,5062,2826,315,178,2095,1121,308,175,1177,680,103,40,664,362,5,4,0.0,0.5555555555555556,1354
Marco Fu,Judd Trump,9,1510,1589,0.38043563423724813,0.4507848708986665,788,470,5892,3214,754,506,5140,3014,325,194,1308,738,332,200,1696,1037,1,5,1.0,0.16666666666666663,1354
Graeme Dott,Noppon Saengkham,9,1348,1243,0.6569871207564459,0.5652507475670999,765,450,5945,3188,153,65,1099,505,195,98,995,556,178,86,688,326,1,5,1.0,0.16666666666666663,1354
