player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Mark Selby,David Gilbert,9,1523,1511,0.518450112354223,0.5074994375506203,1567,1069,11181,6507,954,561,6544,3545,313,175,1243,705,248,143,814,450,5,4,0.0,0.5555555555555556
Oliver Lines,Jak Jones,9,1279,1438,0.2705791923598182,0.40191313966779657,372,176,2231,1086,403,200,2654,1274,67,22,439,206,308,171,817,441,5,4,0.0,0.5555555555555556
John Higgins,Elliot Slessor,9,1511,1392,0.6765144327536381,0.5738312575916094,1885,1328,14584,8591,379,186,2312,1141,405,221,1369,779,207,116,636,332,5,1,0.0,0.8333333333333334
Mark Allen,Judd Trump,9,1555,1671,0.3276296057789573,0.42800386706848137,1079,717,7646,4348,1458,1048,10084,6098,309,173,1138,651,425,269,1646,1009,5,3,0.0,0.625
Mark Selby,Mark Allen,11,1523,1555,0.4460320996560893,0.48001065984441826,1567,1069,11181,6507,1079,717,7646,4348,313,175,1243,705,309,173,1138,651,6,3,0.0,0.6666666666666666
John Higgins,Oliver Lines,11,1511,1279,0.8357844049641134,0.6410674063348171,1885,1328,14584,8591,372,176,2231,1086,405,221,1369,779,67,22,439,206,6,0,0.0,1.0
Mark Selby,John Higgins,19,1523,1511,0.526409749450005,0.5074994375506203,1567,1069,11181,6507,1885,1328,14584,8591,313,175,1243,705,405,221,1369,779,10,5,0.0,0.6666666666666666
Dean Young,Saleh Alamoudi,7,1050,1000,0.5680051367615364,0.5312093733737563,106,39,551,225,0,0,0,0,65,19,336,130,0,0,0,0,4,0,0.0,1.0
Jimmy White,Mohammed Shehab,7,1117,1200,0.3881295430910018,0.44831033065729986,1572,841,13065,6740,79,32,602,287,57,16,356,138,54,24,54,24,4,2,0.0,0.6666666666666666
Chris Totten,Haris Tahir,7,1138,1082,0.5760654606907909,0.5349429451582145,99,35,570,232,17,11,106,56,96,54,184,101,81,44,106,56,4,2,0.0,0.6666666666666666
Allan Taylor,Adeel Aqdus,7,1235,1000,0.7881034579959058,0.6427913242407762,449,206,2646,1269,0,0,0,0,134,72,424,192,0,0,0,0,4,2,0.0,0.6666666666666666
Zak Surety,Ali Al Obaidly,7,1269,962,0.850832110932218,0.6829798455801029,254,115,1465,696,5,1,23,5,130,63,478,232,19,5,19,5,4,0,0.0,1.0
