,Player1,Player2,Score1,Score2,Best Of,Round Name,Match Date,Tournament Name,Tournament id,Year
14641,Liu Yang,Aamir-Sohail Ahmad,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14642,Liu Wenwei,Tian Pengfei,4,1,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14643,Thanawat Thirapongpaiboon,Chen Wei,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14644,Shrikrishna Suryanarayanan,Asutosh Padhy,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14645,Chen Ruifu,Pankaj Advani,4,2,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14646,Mubashir Raza,Xu Jiarui,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14647,Prin Ratmukda,Ali Gharahgozlou,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14648,Chen Qien,Luo Honghao,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14649,Yisong Peng,Thitiphong Choolasak,4,3,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14650,Jaden Ong Jia Jun,Muhammad Azhar Khan,4,2,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14651,Chatchapong Nasa,Muhammad Siddiqui (II),4,1,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14652,Hon Man Chau,Karar Najim,4,1,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14653,Putthakam Kimsuk,Nadeem Gul,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14654,Deng Jinhong,Siddiqui Arshad,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14655,Ma Hailong,Soheil Vahedi,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14656,Yao Dongcheng,Liang Xiaolong,4,3,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14657,Pongsakron Chongjairak (II),Abhishek Bajaj,4,1,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14658,Ritthichai Chimphanang,Li Chengjie,4,2,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14659,Mohsin Amin,Qin Jianfeng,4,3,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14660,Hamza Akbar,Vorawit Thongweang,4,0,7,Last 96,2025-05-13,2025 Q School Asia-Oceania - Event 1,6785,2025
14661,Xing Zihao,Narinton Tasurin,4,1,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14662,Zhang Zhijie,Siyavosh Mozayani,4,2,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14663,Luo Zetao,Liu Yang,4,1,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14664,Feng Yu,Xian Ziheng,4,0,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14665,Xu Yichen,Hrithik Jain,4,0,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14666,Liu Wenwei,Manasawin Phetmalaikul,4,1,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14667,Muhammad Umar Khan,Sahil Rana,4,0,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14668,Thanawat Thirapongpaiboon,Digvijay Kadian,4,1,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14669,Shrikrishna Suryanarayanan,Usman Mumtaz,4,0,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14670,Chhay Suon,Ma Hailong,4,2,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14671,Chen Qien,Nadeem Gul,4,0,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14672,Tammada Pukpleayn,Ridhimann Bawane,4,0,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14673,Yisong Peng,Fung Kwok Wai,4,0,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14674,Pawaris Ngamkham,Sunny Wang,4,1,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14675,Chatchapong Nasa,Arman Mardanighafarokhi,4,0,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14676,Wan Nansen Sin Man,Mubashir Raza,4,3,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14677,Hon Man Chau,Rana Mahmood,4,2,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14678,Liu Linhao,Cao Zeyi,4,1,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14679,Yu Kiu Chang,Chen Ruifu,4,2,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14680,Chaiyasap Kitjaroenchai,Passakorn Sittikrai,4,2,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14681,Putthakam Kimsuk,Luo Chenliang,4,0,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14682,Deng Jinhong,Patipaan Wonghun,4,1,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14683,Zhou Jinhao,Wang Yuhang,4,0,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14684,Xu Jianhao,Pongsakron Chongjairak (II),4,3,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14685,Abdul Javed,Hamza Akbar,4,3,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14686,Lomnaw Issarangkun,Yao Dongcheng,4,3,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14687,Thor Chuan Leong,Amin Sanjaei,4,1,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14688,Nattanapong Chaikul,Jaden Ong Jia Jun,4,2,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14689,Mohsin Amin,Babar Masih,4,3,7,Last 64,2025-05-15,2025 Q School Asia-Oceania - Event 1,6785,2025
14690,Muhammad Ahsan Javaid,Prin Ratmukda,4,2,7,Last 64,2025-05-14,2025 Q School Asia-Oceania - Event 1,6785,2025
14691,Xing Zihao,Thanawat Thirapongpaiboon,4,3,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14692,Luo Zetao,Lomnaw Issarangkun,4,0,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14693,Feng Yu,Yu Kiu Chang,4,3,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14694,Liu Wenwei,Tammada Pukpleayn,4,0,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14695,Chhay Suon,Xu Yichen,4,1,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14696,Chen Qien,Muhammad Ahsan Javaid,4,3,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14697,Yisong Peng,Wan Nansen Sin Man,4,2,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14698,Chatchapong Nasa,Shrikrishna Suryanarayanan,4,1,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14699,Liu Linhao,Zhang Zhijie,4,2,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14700,Chaiyasap Kitjaroenchai,Ritthichai Chimphanang,4,3,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14701,Deng Jinhong,Pawaris Ngamkham,4,1,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14702,Zhou Jinhao,Putthakam Kimsuk,4,1,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14703,Xu Jianhao,Thor Chuan Leong,4,3,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14704,Zhao Hanyang,Hon Man Chau,4,1,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14705,Nattanapong Chaikul,Muhammad Umar Khan,4,1,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14706,Mohsin Amin,Abdul Javed,4,1,7,Last 32,2025-05-16,2025 Q School Asia-Oceania - Event 1,6785,2025
14707,Xing Zihao,Xu Jianhao,4,3,7,Last 16,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14708,Luo Zetao,Zhou Jinhao,4,1,7,Last 16,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14709,Liu Wenwei,Chen Qien,4,2,7,Last 16,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14710,Yisong Peng,Deng Jinhong,4,1,7,Last 16,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14711,Chatchapong Nasa,Feng Yu,4,1,7,Last 16,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14712,Liu Linhao,Chhay Suon,4,2,7,Last 16,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14713,Zhao Hanyang,Chaiyasap Kitjaroenchai,4,0,7,Last 16,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14714,Nattanapong Chaikul,Mohsin Amin,4,1,7,Last 16,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14715,Luo Zetao,Yisong Peng,4,2,7,Quarter-final,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14716,Liu Wenwei,Nattanapong Chaikul,4,3,7,Quarter-final,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14717,Chatchapong Nasa,Zhao Hanyang,4,2,7,Quarter-final,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14718,Liu Linhao,Xing Zihao,4,0,7,Quarter-final,2025-05-17,2025 Q School Asia-Oceania - Event 1,6785,2025
14719,Liu Wenwei,Luo Zetao,4,3,7,Semi-final,2025-05-18,2025 Q School Asia-Oceania - Event 1,6785,2025
14720,Chatchapong Nasa,Liu Linhao,4,0,7,Semi-final,2025-05-18,2025 Q School Asia-Oceania - Event 1,6785,2025
14721,Wang Yuchen,Brian Cini,10,5,19,Last 144,2025-04-09,2025 World Championship,6743,2025
14722,Dean Young,Michal Szubarczyk,10,8,19,Last 144,2025-04-08,2025 World Championship,6743,2025
14723,Gao Yang,Liam Pullen,10,5,19,Last 144,2025-04-09,2025 World Championship,6743,2025
14724,Zhao Xintong,Cheung Ka Wai,10,3,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14725,Jimmy White,Anton Kazakov,10,9,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14726,Alexander Ursenbacher,Paul Deaville,10,6,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14727,Allan Taylor,Joshua Thomond,10,7,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14728,Haris Tahir,Joshua Cooper,10,6,19,Last 144,2025-04-07,2025 World Championship,6743,2025
14729,Akani Songsermsawad,Kreishh Gurbaxani,10,3,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14730,Manasawin Phetmalaikul,Leone Crowley,10,3,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14731,Hammad Miah,Jonas Luz,10,0,19,Last 144,2025-04-07,2025 World Championship,6743,2025
14732,Ben Mertens,Daniel Womersley,10,5,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14733,Robbie Mcguigan,Hatem Yassen,10,6,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14734,Mitchell Mann,Chris Totten,10,7,19,Last 144,2025-04-07,2025 World Championship,6743,2025
14735,Oliver Lines,Mohammed Shehab,10,8,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14736,Julien Leclercq,Zhou Jinhao,10,7,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14737,Antoni Kowalski,Reanne Evans,10,4,19,Last 144,2025-04-07,2025 World Championship,6743,2025
14738,Duane Jones,Florian Nüßle,10,9,19,Last 144,2025-04-09,2025 World Championship,6743,2025
14739,Huang Jiahao,Amaan Iqbal,10,4,19,Last 144,2025-04-07,2025 World Championship,6743,2025
14740,Liam Highfield,Yulu Bai,10,3,19,Last 144,2025-04-09,2025 World Championship,6743,2025
14741,Andrew Higginson,Ryan Thomerson,10,7,19,Last 144,2025-04-09,2025 World Championship,6743,2025
14742,Steven Hallworth,Bulcsú Révész,10,2,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14743,Liam Graham,Fergal Quinn (II),10,9,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14744,Dylan Emery,Artemijs Zizins,10,4,19,Last 144,2025-04-07,2025 World Championship,6743,2025
14745,Ken Doherty,Haydon Pinhey,10,3,19,Last 144,2025-04-09,2025 World Championship,6743,2025
14746,Liam Davies,Ahmed Aly Elsayed,10,2,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14747,Gong Chenzhi,Kaylan Patel,10,7,19,Last 144,2025-04-07,2025 World Championship,6743,2025
14748,Ian Burns,Mink Nutcharut,10,4,19,Last 144,2025-04-09,2025 World Championship,6743,2025
14749,Iulian Boiko,Andrew Pagett,10,2,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14750,Simon Blackwell,Mostafa Dorgham,10,7,19,Last 144,2025-04-09,2025 World Championship,6743,2025
14751,Mateusz Baranowski,Amir Sarkhosh,10,2,19,Last 144,2025-04-07,2025 World Championship,6743,2025
14752,Farakh Ajaib,Siripaporn Nuanthakhamjan,10,2,19,Last 144,2025-04-07 - 04-08,2025 World Championship,6743,2025
14753,Xing Zihao,Alexander Ursenbacher,10,6,19,Last 112,2025-04-10,2025 World Championship,6743,2025
14754,Gao Yang,Tian Pengfei,10,6,19,Last 112,2025-04-11 - 04-12,2025 World Championship,6743,2025
14755,Zhao Xintong,Long Zehuang,10,8,19,Last 112,2025-04-10,2025 World Championship,6743,2025
14756,Robbie Williams,Manasawin Phetmalaikul,10,4,19,Last 112,2025-04-11,2025 World Championship,6743,2025
14757,Daniel Wells,Huang Jiahao,10,6,19,Last 112,2025-04-09 - 04-10,2025 World Championship,6743,2025
14758,Allan Taylor,Jamie Clarke,10,8,19,Last 112,2025-04-11,2025 World Championship,6743,2025
14759,Zak Surety,Antoni Kowalski,10,2,19,Last 112,2025-04-09 - 04-10,2025 World Championship,6743,2025
14760,Matthew Stevens,Simon Blackwell,10,3,19,Last 112,2025-04-11 - 04-12,2025 World Championship,6743,2025
14761,Akani Songsermsawad,David Grace,10,9,19,Last 112,2025-04-10,2025 World Championship,6743,2025
14762,Ishpreet Singh Chadha,Mateusz Baranowski,10,2,19,Last 112,2025-04-09 - 04-10,2025 World Championship,6743,2025
14763,Joe Perry,Dylan Emery,10,6,19,Last 112,2025-04-09 - 04-10,2025 World Championship,6743,2025
14764,Ross Muir,Liam Graham,10,5,19,Last 112,2025-04-10,2025 World Championship,6743,2025
14765,Stan Moody,Dean Young,10,3,19,Last 112,2025-04-11,2025 World Championship,6743,2025
14766,Hammad Miah,Thor Chuan Leong,10,9,19,Last 112,2025-04-09 - 04-10,2025 World Championship,6743,2025
14767,Mitchell Mann,Liu Hongyu,10,2,19,Last 112,2025-04-09 - 04-10,2025 World Championship,6743,2025
14768,David Lilley,Ken Doherty,10,2,19,Last 112,2025-04-11 - 04-12,2025 World Championship,6743,2025
14769,Sanderson Lam,Liam Davies,10,9,19,Last 112,2025-04-10,2025 World Championship,6743,2025
14770,Jiang Jun,Andrew Higginson,10,5,19,Last 112,2025-04-11 - 04-12,2025 World Championship,6743,2025
14771,Duane Jones,Ma Hailong,10,1,19,Last 112,2025-04-11 - 04-12,2025 World Championship,6743,2025
14772,Jamie Jones,Julien Leclercq,10,7,19,Last 112,2025-04-11,2025 World Championship,6743,2025
14773,Michael Holt,Oliver Lines,10,8,19,Last 112,2025-04-11,2025 World Championship,6743,2025
14774,Aaron Hill,Haris Tahir,10,0,19,Last 112,2025-04-09 - 04-10,2025 World Championship,6743,2025
14775,Anthony Hamilton,Steven Hallworth,10,8,19,Last 112,2025-04-11,2025 World Championship,6743,2025
14776,He Guoqiang,Liam Highfield,10,3,19,Last 112,2025-04-11 - 04-12,2025 World Championship,6743,2025
14777,Marco Fu,Ben Mertens,10,4,19,Last 112,2025-04-10,2025 World Championship,6743,2025
14778,Mark Davis,Robbie Mcguigan,10,7,19,Last 112,2025-04-10,2025 World Championship,6743,2025
14779,Gong Chenzhi,Stuart Carrington,10,8,19,Last 112,2025-04-09 - 04-10,2025 World Championship,6743,2025
14780,Ashley Carty,Jimmy White,10,5,19,Last 112,2025-04-11,2025 World Championship,6743,2025
14781,Ian Burns,Alfie Burden,10,4,19,Last 112,2025-04-11 - 04-12,2025 World Championship,6743,2025
14782,Jordan Brown,Farakh Ajaib,10,6,19,Last 112,2025-04-10,2025 World Championship,6743,2025
14783,Iulian Boiko,Louis Heathcote,10,9,19,Last 112,2025-04-11,2025 World Championship,6743,2025
14784,Fan Zhengyi,Robbie Williams,10,6,19,Last 80,2025-04-13 - 04-14,2025 World Championship,6743,2025
14785,Zhou Yuelong,Ishpreet Singh Chadha,10,5,19,Last 80,2025-04-12,2025 World Championship,6743,2025
14786,Wang Yuchen,Robert Milkins,10,5,19,Last 80,2025-04-14,2025 World Championship,6743,2025
14787,Wu Yize,Jiang Jun,10,4,19,Last 80,2025-04-14,2025 World Championship,6743,2025
14788,Gao Yang,Stephen Maguire,10,3,19,Last 80,2025-04-14,2025 World Championship,6743,2025
14789,Zhao Xintong,Lyu Haotian,10,4,19,Last 80,2025-04-13,2025 World Championship,6743,2025
14790,Ben Woollaston,Mark Davis,10,9,19,Last 80,2025-04-13,2025 World Championship,6743,2025
14791,Gary Wilson,Hammad Miah,10,1,19,Last 80,2025-04-12,2025 World Championship,6743,2025
14792,Daniel Wells,Dominic Dale,10,4,19,Last 80,2025-04-12,2025 World Championship,6743,2025
14793,Ricky Walden,Mitchell Mann,10,9,19,Last 80,2025-04-12,2025 World Championship,6743,2025
14794,Chris Wakelin,Xing Zihao,10,5,19,Last 80,2025-04-13,2025 World Championship,6743,2025
14795,Hossein Vafaei,Duane Jones,10,7,19,Last 80,2025-04-14,2025 World Championship,6743,2025
14796,Zak Surety,Jack Lisowski,10,8,19,Last 80,2025-04-12,2025 World Championship,6743,2025
14797,Matthew Stevens,Thepchaiya Un-Nooh,10,8,19,Last 80,2025-04-14,2025 World Championship,6743,2025
14798,Akani Songsermsawad,Noppon Saengkham,10,7,19,Last 80,2025-04-13,2025 World Championship,6743,2025
14799,Elliot Slessor,Marco Fu,10,6,19,Last 80,2025-04-13,2025 World Championship,6743,2025
14800,Yuan Sijun,Joe Perry,10,5,19,Last 80,2025-04-12,2025 World Championship,6743,2025
14801,Matthew Selt,Anthony Hamilton,10,3,19,Last 80,2025-04-13 - 04-14,2025 World Championship,6743,2025
14802,Jimmy Robertson,Stan Moody,10,9,19,Last 80,2025-04-13 - 04-14,2025 World Championship,6743,2025
14803,Jackson Page,Allan Taylor,10,2,19,Last 80,2025-04-13 - 04-14,2025 World Championship,6743,2025
14804,Martin O'Donnell,Jordan Brown,10,8,19,Last 80,2025-04-13,2025 World Championship,6743,2025
14805,Joe O'Connor,Iulian Boiko,10,4,19,Last 80,2025-04-13 - 04-14,2025 World Championship,6743,2025
14806,Ross Muir,Tom Ford,10,7,19,Last 80,2025-04-13,2025 World Championship,6743,2025
14807,Peifan Lei,David Lilley,10,6,19,Last 80,2025-04-14,2025 World Championship,6743,2025
14808,Pang Junxu,Ashley Carty,10,2,19,Last 80,2025-04-13 - 04-14,2025 World Championship,6743,2025
14809,Jamie Jones,Xu Si,10,7,19,Last 80,2025-04-13 - 04-14,2025 World Championship,6743,2025
14810,Michael Holt,Stuart Bingham,10,6,19,Last 80,2025-04-13 - 04-14,2025 World Championship,6743,2025
14811,Aaron Hill,Anthony McGill,10,5,19,Last 80,2025-04-12,2025 World Championship,6743,2025
14812,He Guoqiang,Scott Donaldson,10,9,19,Last 80,2025-04-14,2025 World Championship,6743,2025
14813,David Gilbert,Gong Chenzhi,10,6,19,Last 80,2025-04-12,2025 World Championship,6743,2025
14814,Ryan Day,Sanderson Lam,10,5,19,Last 80,2025-04-13,2025 World Championship,6743,2025
14815,Ali Carter,Ian Burns,10,8,19,Last 80,2025-04-14,2025 World Championship,6743,2025
14816,Fan Zhengyi,Michael Holt,10,4,19,Last 48,2025-04-16,2025 World Championship,6743,2025
14817,Zhou Yuelong,Yuan Sijun,10,5,19,Last 48,2025-04-15,2025 World Championship,6743,2025
14818,Wu Yize,Matthew Stevens,10,9,19,Last 48,2025-04-16,2025 World Championship,6743,2025
14819,Zhao Xintong,Elliot Slessor,10,8,19,Last 48,2025-04-15,2025 World Championship,6743,2025
14820,Ben Woollaston,Ross Muir,10,4,19,Last 48,2025-04-15,2025 World Championship,6743,2025
14821,Daniel Wells,Gary Wilson,10,9,19,Last 48,2025-04-15,2025 World Championship,6743,2025
14822,Chris Wakelin,Martin O'Donnell,10,2,19,Last 48,2025-04-15,2025 World Championship,6743,2025
14823,Hossein Vafaei,Wang Yuchen,10,4,19,Last 48,2025-04-16,2025 World Championship,6743,2025
14824,Zak Surety,Ricky Walden,10,3,19,Last 48,2025-04-15,2025 World Championship,6743,2025
14825,Matthew Selt,Jimmy Robertson,10,9,19,Last 48,2025-04-16,2025 World Championship,6743,2025
14826,Joe O'Connor,Jackson Page,10,7,19,Last 48,2025-04-16,2025 World Championship,6743,2025
14827,Peifan Lei,Gao Yang,10,9,19,Last 48,2025-04-16,2025 World Championship,6743,2025
14828,Pang Junxu,Jamie Jones,10,6,19,Last 48,2025-04-16,2025 World Championship,6743,2025
14829,David Gilbert,Aaron Hill,10,9,19,Last 48,2025-04-15,2025 World Championship,6743,2025
14830,Ryan Day,Akani Songsermsawad,10,5,19,Last 48,2025-04-15,2025 World Championship,6743,2025
14831,Ali Carter,He Guoqiang,10,5,19,Last 48,2025-04-16,2025 World Championship,6743,2025
14832,Zhao Xintong,Jak Jones,10,4,19,Last 32,2025-04-20 - 04-21,2025 World Championship,6743,2025
14833,Ben Woollaston,Mark Selby,10,8,19,Last 32,2025-04-23 - 04-24,2025 World Championship,6743,2025
14834,Mark Williams,Wu Yize,10,8,19,Last 32,2025-04-19 - 04-20,2025 World Championship,6743,2025
14835,Chris Wakelin,Neil Robertson,10,8,19,Last 32,2025-04-19 - 04-20,2025 World Championship,6743,2025
14836,Hossein Vafaei,Barry Hawkins,10,9,19,Last 32,2025-04-19 - 04-20,2025 World Championship,6743,2025
14837,Judd Trump,Zhou Yuelong,10,4,19,Last 32,2025-04-22 - 04-23,2025 World Championship,6743,2025
14838,Ronnie O'Sullivan,Ali Carter,10,4,19,Last 32,2025-04-22 - 04-23,2025 World Championship,6743,2025
14839,Shaun Murphy,Daniel Wells,10,4,19,Last 32,2025-04-22 - 04-23,2025 World Championship,6743,2025
14840,Peifan Lei,Kyren Wilson,10,9,19,Last 32,2025-04-19,2025 World Championship,6743,2025
14841,Pang Junxu,Zhang Anda,10,7,19,Last 32,2025-04-22 - 04-23,2025 World Championship,6743,2025
14842,Ding Junhui,Zak Surety,10,7,19,Last 32,2025-04-21 - 04-22,2025 World Championship,6743,2025
14843,Si Jiahui,David Gilbert,10,6,19,Last 32,2025-04-21 - 04-22,2025 World Championship,6743,2025
14844,John Higgins,Joe O'Connor,10,7,19,Last 32,2025-04-21,2025 World Championship,6743,2025
14845,Xiao Guodong,Matthew Selt,10,4,19,Last 32,2025-04-19 - 04-20,2025 World Championship,6743,2025
14846,Luca Brecel,Ryan Day,10,7,19,Last 32,2025-04-23 - 04-24,2025 World Championship,6743,2025
14847,Mark Allen,Fan Zhengyi,10,6,19,Last 32,2025-04-20 - 04-21,2025 World Championship,6743,2025
14848,Zhao Xintong,Peifan Lei,13,10,25,Last 16,2025-04-25 - 04-27,2025 World Championship,6743,2025
14849,Mark Williams,Hossein Vafaei,13,10,25,Last 16,2025-04-25 - 04-26,2025 World Championship,6743,2025
14850,Chris Wakelin,Mark Allen,13,6,25,Last 16,2025-04-24 - 04-25,2025 World Championship,6743,2025
14851,Judd Trump,Shaun Murphy,13,10,25,Last 16,2025-04-27 - 04-28,2025 World Championship,6743,2025
14852,Ronnie O'Sullivan,Pang Junxu,13,4,25,Last 16,2025-04-26 - 04-28,2025 World Championship,6743,2025
14853,Si Jiahui,Ben Woollaston,13,10,25,Last 16,2025-04-26 - 04-28,2025 World Championship,6743,2025
14854,John Higgins,Xiao Guodong,13,12,25,Last 16,2025-04-24 - 04-26,2025 World Championship,6743,2025
14855,Luca Brecel,Ding Junhui,13,4,25,Last 16,2025-04-26 - 04-28,2025 World Championship,6743,2025
14856,Zhao Xintong,Chris Wakelin,13,5,25,Quarter-final,2025-04-29 - 04-30,2025 World Championship,6743,2025
14857,Mark Williams,John Higgins,13,12,25,Quarter-final,2025-04-29 - 04-30,2025 World Championship,6743,2025
14858,Judd Trump,Luca Brecel,13,8,25,Quarter-final,2025-04-29 - 04-30,2025 World Championship,6743,2025
14859,Ronnie O'Sullivan,Si Jiahui,13,9,25,Quarter-final,2025-04-29 - 04-30,2025 World Championship,6743,2025
14860,Zhao Xintong,Ronnie O'Sullivan,17,7,33,Semi-final,2025-05-01 - 05-02,2025 World Championship,6743,2025
14861,Mark Williams,Judd Trump,17,14,33,Semi-final,2025-05-01 - 05-03,2025 World Championship,6743,2025
14862,Zhao Xintong,Mark Williams,18,12,35,Final,2025-05-04 - 05-05,2025 World Championship,6743,2025
14863,Mark Selby,Si Jiahui,10,6,19,Last 12,2025-04-01,2025 Tour Championship,6724,2025
14864,Ding Junhui,Mark Williams,10,3,19,Last 12,2025-03-31 - 04-01,2025 Tour Championship,6724,2025
14865,Barry Hawkins,Shaun Murphy,10,1,19,Last 12,2025-03-31,2025 Tour Championship,6724,2025
14866,Xiao Guodong,Wu Yize,10,8,19,Last 12,2025-03-31 - 04-01,2025 Tour Championship,6724,2025
14867,Mark Selby,Neil Robertson,10,1,19,Quarter-final,2025-04-03,2025 Tour Championship,6724,2025
14868,Ding Junhui,Kyren Wilson,10,5,19,Quarter-final,2025-04-03,2025 Tour Championship,6724,2025
14869,John Higgins,Xiao Guodong,10,3,19,Quarter-final,2025-04-02 - 04-03,2025 Tour Championship,6724,2025
14870,Barry Hawkins,Judd Trump,10,5,19,Quarter-final,2025-04-02,2025 Tour Championship,6724,2025
14871,Mark Selby,Ding Junhui,10,2,19,Semi-final,2025-04-05,2025 Tour Championship,6724,2025
14872,John Higgins,Barry Hawkins,10,7,19,Semi-final,2025-04-04,2025 Tour Championship,6724,2025
14873,John Higgins,Mark Selby,10,8,19,Final,2025-04-06,2025 Tour Championship,6724,2025
14874,Kyren Wilson,Mark Allen,6,3,11,Last 16,2025-03-17,2025 Players Championship,6679,2025
14875,Mark Williams,Ding Junhui,6,2,11,Last 16,2025-03-17,2025 Players Championship,6679,2025
