,id,year,url,name,status,category,city,country
53,3669,2020,https://cuetracker.net/tournaments/tour-championship/2020/3669,2020 Tour Championship,Professional,Ranking,Milton Keynes,England
54,3673,2020,https://cuetracker.net/tournaments/latvia-amateur-championship/2020/3673,2020 Latvia Amateur Championship,Amateur,National Championship,Riga,Latvia
55,3667,2020,https://cuetracker.net/tournaments/lithuanian-amateur-championship/2020/3667,2020 Lithuanian Amateur Championship,Amateur,National Championship,Vilnius,Lithuania
56,3650,2020,https://cuetracker.net/tournaments/championship-league/2020/3650,2020 Championship League,Professional,Invitational,Milton Keynes,England
57,3674,2020,https://cuetracker.net/tournaments/english-under-16-championship/2020/3674,2020 English Under-16 Championship,Amateur,National Championship,Various,England
58,3480,2020,https://cuetracker.net/tournaments/european-championships-men/2020/3480,2020 European Championships - Men,Amateur,Continental Event,Albufeira,Portugal
59,3479,2020,https://cuetracker.net/tournaments/european-6-reds-championship/2020/3479,2020 European 6-Reds Championship,Amateur,Continental Event,Albufeira,Portugal
60,3542,2020,https://cuetracker.net/tournaments/gibraltar-open/2020/3542,2020 Gibraltar Open,Professional,Ranking,Gibraltar,Gibraltar
61,3813,2020,https://cuetracker.net/tournaments/world-seniors-6-reds-qualifying/2020/3813,2020 World Seniors 6-Reds Qualifying,Amateur,Event,Sheffield,England
62,6516,2020,https://cuetracker.net/tournaments/bangladesh-amateur-championship/2020/6516,2020 Bangladesh Amateur Championship,Amateur,National Championship,Chittagong,Bangladesh
63,3477,2020,https://cuetracker.net/tournaments/european-championships-under-21/2020/3477,2020 European Championships - Under-21,Amateur,Continental Event,Albufeira,Portugal
