player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Ian Burns,Michael White,5,1310,1272,0.5444310026134622,0.523732154126561,426,215,2673,1346,609,334,3960,2063,129,72,461,229,132,69,515,254,3,1,0.0,0.75,4494
Jordan Brown,Andrew Higginson,5,1382,1292,0.6041506196887392,0.5560138905446199,198,101,1257,623,806,469,5635,3058,147,81,499,239,85,42,457,229,3,2,0.0,0.6,4494
Luca Brecel,Barry Hawkins,5,1425,1556,0.35049291542525274,0.41884903571060617,511,287,3303,1765,1196,748,8253,4613,117,60,727,391,292,164,1101,620,3,2,0.0,0.6,4494
Stuart Bingham,Robert Milkins,5,1562,1362,0.7205943074123384,0.6224593312018546,1333,850,9376,5349,979,570,6920,3728,344,197,1276,729,115,56,576,290,3,1,0.0,0.75,4494
John Astley,Zhang Anda,5,1241,1320,0.40831592749063866,0.45078487089866653,283,128,1737,820,363,178,2510,1251,85,43,380,182,0,0,204,94,3,1,0.0,0.75,4494
Mark Allen,Reanne Evans,5,1546,1005,0.9377992441148681,0.7945380470706461,914,601,6389,3629,164,56,923,380,145,89,856,499,21,7,110,33,3,2,0.0,0.6,4494
Zhou Yuelong,Andy Hicks,5,1471,1209,0.7773262899120251,0.6581363150480182,356,210,2252,1219,693,370,5372,2770,181,101,742,416,67,29,355,165,3,0,0.0,1.0,4494
Gary Wilson,Stephen Hendry,5,1368,1380,0.48594066335072617,0.4925005624493796,569,330,3690,1991,1273,896,11743,6899,159,73,871,466,21,8,21,8,3,0,0.0,1.0,4494
Mark Williams,Dominic Dale,5,1551,1325,0.7452833993871671,0.637608652621925,1642,1074,12017,6889,1025,573,7154,3781,354,199,1041,579,106,51,469,228,3,2,0.0,0.6,4494
Lee Walker,Mark King,5,1230,1310,0.4071782065026308,0.45016600268752216,550,285,4084,2069,1061,584,7625,4001,70,29,356,150,72,33,499,240,3,2,0.0,0.6,4494
Ricky Walden,Robbie Williams,5,1457,1323,0.6527461766347843,0.5829754542011996,1000,593,6821,3745,456,240,2959,1505,153,87,682,368,84,40,495,251,3,1,0.0,0.75,4494
Hossein Vafaei,Mark Allen,5,1357,1546,0.29021991850537043,0.3840246980818742,193,107,1377,700,914,601,6389,3629,86,40,489,250,145,89,856,499,3,2,0.0,0.6,4494
Judd Trump,Stuart Bingham,5,1645,1562,0.5962298160217396,0.5516896693427,1224,866,8277,4980,1333,850,9376,5349,316,201,1769,1117,344,197,1276,729,3,1,0.0,0.75,4494
Allan Taylor,Jimmy White,5,1229,1206,0.5269308649588145,0.5143710406970602,374,175,2175,1051,1509,823,12680,6594,62,26,305,149,79,36,366,149,3,0,0.0,1.0,4494
Elliot Slessor,Wu Yize,5,1326,1083,0.7607334420026184,0.647370307581549,264,124,1608,774,21,6,148,63,83,40,474,241,0,0,148,63,3,1,0.0,0.75,4494
